[0-0]R=966202; MaxAge=363; Rsp=0.028136;(0.012998)(0.005990)(0.009107)(0.000041)
[0-0]R=966204; MaxAge=341; Rsp=0.028130;(0.012970)(0.006017)(0.009092)(0.000051)
[0-0]R=966206; MaxAge=321; Rsp=0.028114;(0.012962)(0.006003)(0.009113)(0.000036)
[0-0]R=966208; MaxAge=331; Rsp=0.028021;(0.012897)(0.006008)(0.009083)(0.000033)
[0-0]R=966210; MaxAge=315; Rsp=0.028154;(0.013035)(0.005990)(0.009082)(0.000047)
[0-0]R=966212; MaxAge=354; Rsp=0.028152;(0.013055)(0.006058)(0.009003)(0.000036)
[0-0]R=966214; MaxAge=310; Rsp=0.028096;(0.013006)(0.005982)(0.009073)(0.000035)
[0-0]R=966216; MaxAge=348; Rsp=0.027725;(0.012591)(0.005999)(0.009086)(0.000049)
[0-0]R=966218; MaxAge=329; Rsp=0.028088;(0.012975)(0.005997)(0.009080)(0.000036)
[0-0]R=966220; MaxAge=340; Rsp=0.028136;(0.013039)(0.005987)(0.009075)(0.000035)
[0-0]R=966222; MaxAge=323; Rsp=0.028118;(0.012938)(0.006057)(0.009073)(0.000050)
[0-0]R=966224; MaxAge=359; Rsp=0.028057;(0.012971)(0.005993)(0.009057)(0.000036)
[0-0]R=966226; MaxAge=313; Rsp=0.028110;(0.012994)(0.006001)(0.009081)(0.000034)
[0-0]R=966228; MaxAge=353; Rsp=0.028056;(0.012950)(0.006001)(0.009056)(0.000049)
[0-0]R=966230; MaxAge=335; Rsp=0.028087;(0.012962)(0.006005)(0.009090)(0.000030)
[0-0]R=966232; MaxAge=344; Rsp=0.028078;(0.012974)(0.005993)(0.009074)(0.000037)
[0-0]R=966234; MaxAge=322; Rsp=0.027431;(0.012990)(0.006045)(0.008339)(0.000057)
[0-0]R=966236; MaxAge=360; Rsp=0.028081;(0.012937)(0.005998)(0.009117)(0.000029)
[0-0]R=966238; MaxAge=315; Rsp=0.027132;(0.012982)(0.005036)(0.009078)(0.000036)
[0-0]R=966240; MaxAge=353; Rsp=0.027158;(0.013000)(0.005859)(0.008246)(0.000053)
[0-0]R=966242; MaxAge=337; Rsp=0.027092;(0.012975)(0.005659)(0.008422)(0.000036)
[0-0]R=966244; MaxAge=345; Rsp=0.028152;(0.013007)(0.005996)(0.009115)(0.000034)
[0-0]R=966246; MaxAge=325; Rsp=0.028204;(0.012970)(0.006074)(0.009106)(0.000054)
[0-0]R=966248; MaxAge=362; Rsp=0.028020;(0.012882)(0.006024)(0.009078)(0.000036)
[0-0]R=966250; MaxAge=319; Rsp=0.028124;(0.013050)(0.005980)(0.009059)(0.000035)
[0-0]R=966252; MaxAge=353; Rsp=0.028132;(0.013026)(0.005962)(0.009092)(0.000052)
[0-0]R=966254; MaxAge=336; Rsp=0.028820;(0.013003)(0.005991)(0.009802)(0.000024)
[0-0]R=966256; MaxAge=347; Rsp=0.028065;(0.013003)(0.005977)(0.009061)(0.000024)
[0-0]R=966258; MaxAge=327; Rsp=0.028122;(0.012992)(0.006025)(0.009073)(0.000032)
[0-0]R=966260; MaxAge=365; Rsp=0.027360;(0.012232)(0.006006)(0.009096)(0.000026)
[0-0]R=966262; MaxAge=318; Rsp=0.028149;(0.013003)(0.006003)(0.009106)(0.000037)
[0-0]R=966264; MaxAge=356; Rsp=0.028123;(0.012971)(0.005999)(0.009117)(0.000036)
[0-0]R=966266; MaxAge=336; Rsp=0.028144;(0.012996)(0.005989)(0.009117)(0.000042)
[0-0]R=966268; MaxAge=345; Rsp=0.028123;(0.012974)(0.005977)(0.009136)(0.000036)
[0-0]R=966270; MaxAge=329; Rsp=0.027036;(0.012914)(0.005944)(0.008128)(0.000050)
[0-0]R=966272; MaxAge=310; Rsp=0.028189;(0.013058)(0.005962)(0.009129)(0.000040)
[0-0]R=966274; MaxAge=323; Rsp=0.028201;(0.012976)(0.005977)(0.009212)(0.000036)
[0-0]R=966276; MaxAge=360; Rsp=0.028139;(0.012986)(0.006000)(0.009102)(0.000051)
[0-0]R=966278; MaxAge=342; Rsp=0.028090;(0.012980)(0.005998)(0.009069)(0.000043)
[0-0]R=966280; MaxAge=352; Rsp=0.027861;(0.012955)(0.006010)(0.008860)(0.000036)
[0-0]R=966282; MaxAge=337; Rsp=0.028195;(0.013048)(0.006002)(0.009083)(0.000062)
[0-0]R=966284; MaxAge=319; Rsp=0.028124;(0.012998)(0.006002)(0.009081)(0.000043)
[0-0]R=966286; MaxAge=327; Rsp=0.028133;(0.013098)(0.005916)(0.009077)(0.000042)
[0-0]R=966288; MaxAge=366; Rsp=0.028114;(0.012943)(0.005993)(0.009126)(0.000052)
