[9917-1]R=966560; MaxAge=27; Rsp=0.027310;(0.013046)(0.005985)(0.008150)(0.000129)
[9917-2]R=966563; MaxAge=974; Rsp=0.028374;(0.013020)(0.006003)(0.009180)(0.000171)
[9917-3]R=966564; MaxAge=53; Rsp=0.000127;(0.000000)(0.000000)(0.000000)(564.955079)
[9917-4]R=966566; MaxAge=25; Rsp=0.027624;(0.012858)(0.006024)(0.008637)(0.000105)
[9917-5]R=966568; MaxAge=25; Rsp=0.027228;(0.012852)(0.006018)(0.008148)(0.000210)
[9917-6]R=966570; MaxAge=50; Rsp=0.000130;(0.000000)(0.000000)(0.000000)(570.957316)
[9917-7]R=966572; MaxAge=23; Rsp=0.027099;(0.012150)(0.005730)(0.009090)(0.000129)
[9917-8]R=966574; MaxAge=22; Rsp=0.026883;(0.012652)(0.005990)(0.008116)(0.000125)
[9917-9]R=966576; MaxAge=50; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(576.959603)
[9917-10]R=966578; MaxAge=21; Rsp=0.028054;(0.012893)(0.005987)(0.009088)(0.000086)
[9917-11]R=966580; MaxAge=20; Rsp=0.027145;(0.012899)(0.005990)(0.008123)(0.000133)
[9917-12]R=966582; MaxAge=47; Rsp=0.000087;(0.000000)(0.000000)(0.000000)(582.961787)
[9917-13]R=966584; MaxAge=19; Rsp=0.028083;(0.012855)(0.006009)(0.009110)(0.000109)
[9917-14]R=966586; MaxAge=20; Rsp=0.027074;(0.012849)(0.005038)(0.009069)(0.000118)
[9917-15]R=966588; MaxAge=47; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(588.962187)
[9917-16]R=966590; MaxAge=19; Rsp=0.028108;(0.012856)(0.006019)(0.009104)(0.000129)
[9917-17]R=966592; MaxAge=18; Rsp=0.028100;(0.012864)(0.006002)(0.009123)(0.000111)
[9917-18]R=966594; MaxAge=46; Rsp=0.000138;(0.000000)(0.000000)(0.000000)(594.962470)
[9917-19]R=966596; MaxAge=17; Rsp=0.028018;(0.012841)(0.006020)(0.009037)(0.000120)
[9917-20]R=966598; MaxAge=18; Rsp=0.027056;(0.012225)(0.005623)(0.009091)(0.000117)
[9917-21]R=966600; MaxAge=45; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(600.963745)
[9917-22]R=966602; MaxAge=17; Rsp=0.028162;(0.012846)(0.006006)(0.009071)(0.000239)
[9917-23]R=966604; MaxAge=17; Rsp=0.027065;(0.012859)(0.005991)(0.008105)(0.000110)
[9917-24]R=966606; MaxAge=44; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(606.964008)
[9917-25]R=966608; MaxAge=17; Rsp=0.028177;(0.012881)(0.005968)(0.009104)(0.000224)
[9917-26]R=966610; MaxAge=16; Rsp=0.027086;(0.012875)(0.005644)(0.008447)(0.000120)
[9917-27]R=966612; MaxAge=42; Rsp=0.000124;(0.000000)(0.000000)(0.000000)(612.966273)
[9917-28]R=966614; MaxAge=14; Rsp=0.027076;(0.012862)(0.005029)(0.009069)(0.000116)
[9917-29]R=966616; MaxAge=12; Rsp=0.028070;(0.012868)(0.006008)(0.009083)(0.000111)
[9917-30]R=966618; MaxAge=40; Rsp=0.000133;(0.000000)(0.000000)(0.000000)(618.968538)
[9917-31]R=966620; MaxAge=11; Rsp=0.028067;(0.012876)(0.005988)(0.009094)(0.000109)
[9917-32]R=966622; MaxAge=11; Rsp=0.027048;(0.012852)(0.005987)(0.008098)(0.000111)
[9917-33]R=966624; MaxAge=39; Rsp=0.000127;(0.000000)(0.000000)(0.000000)(624.969826)
[9917-34]R=966626; MaxAge=11; Rsp=0.028055;(0.012860)(0.005988)(0.009089)(0.000118)
[9917-35]R=966628; MaxAge=11; Rsp=0.028161;(0.012857)(0.005993)(0.009095)(0.000216)
[9917-36]R=966630; MaxAge=39; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(630.970120)
[9917-37]R=966632; MaxAge=10; Rsp=0.027157;(0.012844)(0.005186)(0.008881)(0.000246)
[9917-38]R=966634; MaxAge=10; Rsp=0.027075;(0.012834)(0.005076)(0.009050)(0.000115)
[9917-39]R=966636; MaxAge=37; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(636.971386)
[9917-40]R=966638; MaxAge=10; Rsp=0.027126;(0.012520)(0.005346)(0.009136)(0.000124)
[9917-41]R=966640; MaxAge=10; Rsp=0.027039;(0.012821)(0.005034)(0.009070)(0.000114)
[9917-42]R=966642; MaxAge=37; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(642.971685)
[9917-43]R=966644; MaxAge=8; Rsp=0.027241;(0.012852)(0.006023)(0.008256)(0.000110)
[9917-44]R=966646; MaxAge=9; Rsp=0.026623;(0.012841)(0.005157)(0.008472)(0.000153)
[9917-45]R=966648; MaxAge=35; Rsp=0.000131;(0.000000)(0.000000)(0.000000)(648.973940)
[9917-46]R=966650; MaxAge=8; Rsp=0.027166;(0.012840)(0.005031)(0.009067)(0.000228)
[9917-47]R=966652; MaxAge=8; Rsp=0.027058;(0.012863)(0.005025)(0.009061)(0.000109)
[9917-48]R=966654; MaxAge=35; Rsp=0.000136;(0.000000)(0.000000)(0.000000)(654.974230)
[9917-49]R=966656; MaxAge=6; Rsp=0.028049;(0.012862)(0.005989)(0.009086)(0.000112)
[9917-50]R=966658; MaxAge=5; Rsp=0.028036;(0.012847)(0.005914)(0.009057)(0.000218)
[9917-51]R=966660; MaxAge=31; Rsp=0.000136;(0.000000)(0.000000)(0.000000)(660.977463)
[9917-52]R=966662; MaxAge=3; Rsp=0.027085;(0.012129)(0.005741)(0.009099)(0.000116)
[9917-53]R=966664; MaxAge=1; Rsp=0.028046;(0.012909)(0.005938)(0.009090)(0.000109)
[9917-54]R=966666; MaxAge=29; Rsp=0.000130;(0.000000)(0.000000)(0.000000)(666.980765)
[9917-55]R=966668; MaxAge=0; Rsp=0.028069;(0.012856)(0.006043)(0.009052)(0.000118)
[9917-56]R=966670; MaxAge=0; Rsp=0.028059;(0.012829)(0.006041)(0.009070)(0.000119)
[9917-57]R=966672; MaxAge=28; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(672.981053)
[9917-58]R=966675; MaxAge=999; Rsp=0.028183;(0.012869)(0.006001)(0.009085)(0.000228)
[9917-59]R=966677; MaxAge=999; Rsp=0.027987;(0.012864)(0.006028)(0.009017)(0.000078)
[9917-60]R=966678; MaxAge=25; Rsp=0.000167;(0.000000)(0.000000)(0.000000)(678.983401)
[9917-61]R=966681; MaxAge=996; Rsp=0.028095;(0.012876)(0.005986)(0.009113)(0.000120)
[9917-62]R=966683; MaxAge=996; Rsp=0.027131;(0.012863)(0.005045)(0.009095)(0.000128)
[9917-63]R=966684; MaxAge=22; Rsp=0.000133;(0.000000)(0.000000)(0.000000)(684.986608)
[9917-64]R=966687; MaxAge=993; Rsp=0.028175;(0.012881)(0.005978)(0.009094)(0.000222)
[9917-65]R=966689; MaxAge=993; Rsp=0.028085;(0.012886)(0.006008)(0.009080)(0.000111)
[9917-66]R=966690; MaxAge=21; Rsp=0.000141;(0.000000)(0.000000)(0.000000)(690.987885)
[9917-67]R=966693; MaxAge=993; Rsp=0.028204;(0.012876)(0.005991)(0.009087)(0.000250)
[9917-68]R=966695; MaxAge=993; Rsp=0.028057;(0.012868)(0.006002)(0.009073)(0.000114)
[9917-69]R=966696; MaxAge=21; Rsp=0.000083;(0.000000)(0.000000)(0.000000)(696.988022)
[9917-70]R=966699; MaxAge=993; Rsp=0.027126;(0.012854)(0.006014)(0.008131)(0.000127)
[9917-71]R=966701; MaxAge=992; Rsp=0.028061;(0.012862)(0.005995)(0.009091)(0.000113)
[9917-72]R=966702; MaxAge=19; Rsp=0.000140;(0.000000)(0.000000)(0.000000)(702.989434)
[9917-73]R=966705; MaxAge=990; Rsp=0.028052;(0.012822)(0.006010)(0.009093)(0.000127)
[9917-74]R=966707; MaxAge=991; Rsp=0.027059;(0.012800)(0.005042)(0.009093)(0.000124)
[9917-75]R=966708; MaxAge=18; Rsp=0.000167;(0.000000)(0.000000)(0.000000)(708.991436)
[9917-76]R=966711; MaxAge=989; Rsp=0.027935;(0.012653)(0.006011)(0.009045)(0.000226)
[9917-77]R=966713; MaxAge=988; Rsp=0.028099;(0.012894)(0.006005)(0.009070)(0.000130)
[9917-78]R=966714; MaxAge=17; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(714.992947)
[9917-79]R=966717; MaxAge=988; Rsp=0.028250;(0.012875)(0.006012)(0.009106)(0.000257)
[9917-80]R=966719; MaxAge=988; Rsp=0.027212;(0.012848)(0.005996)(0.008129)(0.000239)
[9917-81]R=966720; MaxAge=16; Rsp=0.000140;(0.000000)(0.000000)(0.000000)(720.993242)
[9917-82]R=966723; MaxAge=988; Rsp=0.027185;(0.012863)(0.005766)(0.008309)(0.000247)
[9917-83]R=966725; MaxAge=987; Rsp=0.028100;(0.012884)(0.005974)(0.009125)(0.000117)
