[6680-1]R=968754; MaxAge=323; Rsp=0.027425;(0.012463)(0.005933)(0.008875)(0.000154)
[6680-2]R=968758; MaxAge=321; Rsp=0.027228;(0.012855)(0.005965)(0.008265)(0.000143)
[6680-3]R=968762; MaxAge=349; Rsp=0.000153;(0.000000)(0.000000)(0.000000)(762.660108)
[6680-4]R=968766; MaxAge=321; Rsp=0.028059;(0.012856)(0.006012)(0.009074)(0.000117)
[6680-5]R=968770; MaxAge=320; Rsp=0.028146;(0.012869)(0.006027)(0.009040)(0.000210)
[6680-6]R=968774; MaxAge=347; Rsp=0.000145;(0.000000)(0.000000)(0.000000)(774.661656)
[6680-7]R=968778; MaxAge=320; Rsp=0.027003;(0.012781)(0.005046)(0.009065)(0.000111)
[6680-8]R=968782; MaxAge=318; Rsp=0.028155;(0.012846)(0.006002)(0.009078)(0.000229)
[6680-9]R=968786; MaxAge=346; Rsp=0.000155;(0.000000)(0.000000)(0.000000)(786.663212)
[6680-10]R=968790; MaxAge=317; Rsp=0.028017;(0.012809)(0.006000)(0.009111)(0.000097)
[6680-11]R=968794; MaxAge=316; Rsp=0.027314;(0.012838)(0.006027)(0.008210)(0.000239)
[6680-12]R=968798; MaxAge=343; Rsp=0.000138;(0.000000)(0.000000)(0.000000)(798.665769)
[6680-13]R=968802; MaxAge=315; Rsp=0.028065;(0.012895)(0.005975)(0.009083)(0.000112)
[6680-14]R=968806; MaxAge=314; Rsp=0.027980;(0.012825)(0.005972)(0.009079)(0.000104)
[6680-15]R=968810; MaxAge=341; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(810.667452)
[6680-16]R=968814; MaxAge=313; Rsp=0.028061;(0.012887)(0.006002)(0.009053)(0.000119)
[6680-17]R=968818; MaxAge=314; Rsp=0.027173;(0.012845)(0.005022)(0.009076)(0.000230)
[6680-18]R=968822; MaxAge=340; Rsp=0.000130;(0.000000)(0.000000)(0.000000)(822.668861)
[6680-19]R=968826; MaxAge=312; Rsp=0.028026;(0.012845)(0.005987)(0.009077)(0.000117)
[6680-20]R=968830; MaxAge=313; Rsp=0.026167;(0.012202)(0.005619)(0.008111)(0.000235)
[6680-21]R=968834; MaxAge=338; Rsp=0.000085;(0.000000)(0.000000)(0.000000)(834.670331)
[6680-22]R=968838; MaxAge=310; Rsp=0.027969;(0.012733)(0.006009)(0.009109)(0.000118)
[6680-23]R=968842; MaxAge=310; Rsp=0.028162;(0.012890)(0.005968)(0.009068)(0.000236)
[6680-24]R=968846; MaxAge=337; Rsp=0.000143;(0.000000)(0.000000)(0.000000)(846.671989)
[6680-25]R=968850; MaxAge=310; Rsp=0.027060;(0.012867)(0.005099)(0.008995)(0.000099)
[6680-26]R=968854; MaxAge=309; Rsp=0.027213;(0.012846)(0.005337)(0.008739)(0.000291)
[6680-27]R=968858; MaxAge=335; Rsp=0.000133;(0.000000)(0.000000)(0.000000)(858.673520)
[6680-28]R=968862; MaxAge=307; Rsp=0.027038;(0.012856)(0.005863)(0.008202)(0.000117)
[6680-29]R=968866; MaxAge=306; Rsp=0.028145;(0.012822)(0.005998)(0.009093)(0.000232)
[6680-30]R=968870; MaxAge=334; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(870.675098)
[6680-31]R=968874; MaxAge=305; Rsp=0.027102;(0.012881)(0.005377)(0.008725)(0.000119)
[6680-32]R=968878; MaxAge=305; Rsp=0.026600;(0.012851)(0.005340)(0.008294)(0.000115)
[6680-33]R=968882; MaxAge=331; Rsp=0.000163;(0.000000)(0.000000)(0.000000)(882.677633)
[6680-34]R=968886; MaxAge=303; Rsp=0.028057;(0.012850)(0.005997)(0.009075)(0.000135)
[6680-35]R=968890; MaxAge=303; Rsp=0.028190;(0.012810)(0.006036)(0.009044)(0.000300)
[6680-36]R=968894; MaxAge=330; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(894.679181)
[6680-37]R=968898; MaxAge=300; Rsp=0.028062;(0.012845)(0.006084)(0.009008)(0.000125)
[6680-38]R=968902; MaxAge=300; Rsp=0.027220;(0.012864)(0.005032)(0.009074)(0.000250)
[6680-39]R=968906; MaxAge=327; Rsp=0.000128;(0.000000)(0.000000)(0.000000)(906.681705)
[6680-40]R=968910; MaxAge=298; Rsp=0.028002;(0.012862)(0.005997)(0.009032)(0.000111)
[6680-41]R=968914; MaxAge=298; Rsp=0.028151;(0.012846)(0.006001)(0.009070)(0.000234)
[6680-42]R=968918; MaxAge=325; Rsp=0.000140;(0.000000)(0.000000)(0.000000)(918.684287)
[6680-43]R=968922; MaxAge=295; Rsp=0.028046;(0.012831)(0.006013)(0.009079)(0.000123)
[6680-44]R=968926; MaxAge=295; Rsp=0.028153;(0.012914)(0.005961)(0.009039)(0.000239)
[6680-45]R=968930; MaxAge=322; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(930.686838)
[6680-46]R=968934; MaxAge=294; Rsp=0.028020;(0.012833)(0.006000)(0.009061)(0.000126)
[6680-47]R=968938; MaxAge=293; Rsp=0.028146;(0.012892)(0.006006)(0.009076)(0.000172)
[6680-48]R=968942; MaxAge=319; Rsp=0.000145;(0.000000)(0.000000)(0.000000)(942.689378)
[6680-49]R=968946; MaxAge=292; Rsp=0.027085;(0.012321)(0.005523)(0.009107)(0.000134)
[6680-50]R=968950; MaxAge=291; Rsp=0.027842;(0.012682)(0.005950)(0.009113)(0.000097)
[6680-51]R=968954; MaxAge=318; Rsp=0.000140;(0.000000)(0.000000)(0.000000)(954.691024)
[6680-52]R=968958; MaxAge=290; Rsp=0.026570;(0.012367)(0.005534)(0.008585)(0.000084)
[6680-53]R=968962; MaxAge=289; Rsp=0.026587;(0.012344)(0.005510)(0.008606)(0.000127)
[6680-54]R=968966; MaxAge=315; Rsp=0.000118;(0.000000)(0.000000)(0.000000)(966.693897)
[6680-55]R=968970; MaxAge=287; Rsp=0.026587;(0.012405)(0.005497)(0.008561)(0.000124)
[6680-56]R=968974; MaxAge=286; Rsp=0.026629;(0.012418)(0.005502)(0.008551)(0.000158)
[6680-57]R=968978; MaxAge=313; Rsp=0.000173;(0.000000)(0.000000)(0.000000)(978.696225)
[6680-58]R=968982; MaxAge=285; Rsp=0.026650;(0.012361)(0.005533)(0.008577)(0.000179)
[6680-59]R=968986; MaxAge=284; Rsp=0.026648;(0.012396)(0.005503)(0.008572)(0.000177)
[6680-60]R=968990; MaxAge=310; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(990.698178)
[6680-61]R=968994; MaxAge=283; Rsp=0.026589;(0.012350)(0.005508)(0.008604)(0.000127)
[6680-62]R=968998; MaxAge=282; Rsp=0.026774;(0.012351)(0.005537)(0.008566)(0.000320)
[6680-63]R=969002; MaxAge=309; Rsp=0.000167;(0.000000)(0.000000)(0.000000)(2.700359)
[6680-64]R=969006; MaxAge=280; Rsp=0.028084;(0.012841)(0.005982)(0.009132)(0.000129)
[6680-65]R=969010; MaxAge=279; Rsp=0.028076;(0.012841)(0.005987)(0.009116)(0.000132)
[6680-66]R=969014; MaxAge=306; Rsp=0.000123;(0.000000)(0.000000)(0.000000)(14.702417)
[6680-67]R=969018; MaxAge=277; Rsp=0.028095;(0.012821)(0.006008)(0.009133)(0.000133)
[6680-68]R=969022; MaxAge=276; Rsp=0.028196;(0.012874)(0.005989)(0.009090)(0.000243)
[6680-69]R=969026; MaxAge=304; Rsp=0.000136;(0.000000)(0.000000)(0.000000)(26.705015)
[6680-70]R=969030; MaxAge=275; Rsp=0.028054;(0.012803)(0.006064)(0.009049)(0.000138)
[6680-71]R=969034; MaxAge=273; Rsp=0.028064;(0.012849)(0.005972)(0.009116)(0.000127)
[6680-72]R=969038; MaxAge=301; Rsp=0.000164;(0.000000)(0.000000)(0.000000)(38.708478)
[6680-73]R=969042; MaxAge=273; Rsp=0.026999;(0.012767)(0.005056)(0.009048)(0.000128)
[6680-74]R=969046; MaxAge=271; Rsp=0.028056;(0.012864)(0.005973)(0.009092)(0.000127)
[6680-75]R=969050; MaxAge=298; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(50.711115)
[6680-76]R=969054; MaxAge=270; Rsp=0.028067;(0.012819)(0.005980)(0.009137)(0.000131)
[6680-77]R=969058; MaxAge=269; Rsp=0.028044;(0.012877)(0.005948)(0.009092)(0.000127)
[6680-78]R=969062; MaxAge=296; Rsp=0.000087;(0.000000)(0.000000)(0.000000)(62.712600)
[6680-79]R=969066; MaxAge=267; Rsp=0.028071;(0.012824)(0.006058)(0.009064)(0.000125)
[6680-80]R=969070; MaxAge=267; Rsp=0.028155;(0.012778)(0.006004)(0.009080)(0.000293)
[6680-81]R=969074; MaxAge=294; Rsp=0.000139;(0.000000)(0.000000)(0.000000)(74.715234)
[6680-82]R=969078; MaxAge=265; Rsp=0.028043;(0.012845)(0.005988)(0.009085)(0.000125)
[6680-83]R=969082; MaxAge=266; Rsp=0.026302;(0.012840)(0.005024)(0.008306)(0.000132)
[6680-84]R=969086; MaxAge=293; Rsp=0.000138;(0.000000)(0.000000)(0.000000)(86.715957)
[6680-85]R=969090; MaxAge=266; Rsp=0.027562;(0.012708)(0.005028)(0.009698)(0.000128)
[6680-86]R=969094; MaxAge=265; Rsp=0.027152;(0.012846)(0.005999)(0.008179)(0.000128)
[6680-87]R=969098; MaxAge=292; Rsp=0.000146;(0.000000)(0.000000)(0.000000)(98.716364)
[6680-88]R=969102; MaxAge=263; Rsp=0.028093;(0.012827)(0.006001)(0.009137)(0.000128)
[6680-89]R=969106; MaxAge=263; Rsp=0.028086;(0.012858)(0.005980)(0.009120)(0.000128)
[6680-90]R=969110; MaxAge=291; Rsp=0.000089;(0.000000)(0.000000)(0.000000)(110.718749)
[6680-91]R=969114; MaxAge=261; Rsp=0.028072;(0.012844)(0.005984)(0.009123)(0.000121)
[6680-92]R=969118; MaxAge=260; Rsp=0.028080;(0.012831)(0.006009)(0.009118)(0.000122)
[6680-93]R=969122; MaxAge=287; Rsp=0.000086;(0.000000)(0.000000)(0.000000)(122.721324)
[6680-94]R=969126; MaxAge=258; Rsp=0.028053;(0.012830)(0.005979)(0.009120)(0.000124)
[6680-95]R=969130; MaxAge=257; Rsp=0.028202;(0.012854)(0.006011)(0.009096)(0.000241)
[6680-96]R=969134; MaxAge=284; Rsp=0.000147;(0.000000)(0.000000)(0.000000)(134.724978)
[6680-97]R=969138; MaxAge=256; Rsp=0.028091;(0.012842)(0.006014)(0.009100)(0.000135)
[6680-98]R=969142; MaxAge=256; Rsp=0.027083;(0.012825)(0.005031)(0.009081)(0.000146)
[6680-99]R=969146; MaxAge=283; Rsp=0.000154;(0.000000)(0.000000)(0.000000)(146.725531)
[6680-100]R=969150; MaxAge=256; Rsp=0.027060;(0.012783)(0.005039)(0.009108)(0.000130)
[6680-101]R=969154; MaxAge=254; Rsp=0.027023;(0.012851)(0.005890)(0.008189)(0.000093)
[6680-102]R=969158; MaxAge=282; Rsp=0.000142;(0.000000)(0.000000)(0.000000)(158.727092)
[6680-103]R=969162; MaxAge=254; Rsp=0.027051;(0.012809)(0.005030)(0.009093)(0.000119)
[6680-104]R=969166; MaxAge=252; Rsp=0.027174;(0.012933)(0.005041)(0.009079)(0.000121)
[6680-105]R=969170; MaxAge=279; Rsp=0.000148;(0.000000)(0.000000)(0.000000)(170.729625)
[6680-106]R=969174; MaxAge=250; Rsp=0.027063;(0.012857)(0.005871)(0.008218)(0.000117)
[6680-107]R=969178; MaxAge=250; Rsp=0.028104;(0.012850)(0.006030)(0.009095)(0.000129)
[6680-108]R=969182; MaxAge=278; Rsp=0.000136;(0.000000)(0.000000)(0.000000)(182.731169)
[6680-109]R=969186; MaxAge=248; Rsp=0.028063;(0.012878)(0.005973)(0.009091)(0.000121)
[6680-110]R=969190; MaxAge=248; Rsp=0.028103;(0.012908)(0.005992)(0.009046)(0.000157)
[6680-111]R=969194; MaxAge=276; Rsp=0.000135;(0.000000)(0.000000)(0.000000)(194.733717)
[6680-112]R=969198; MaxAge=246; Rsp=0.028181;(0.012862)(0.006011)(0.009083)(0.000225)
[6680-113]R=969202; MaxAge=246; Rsp=0.027155;(0.012918)(0.005983)(0.008097)(0.000157)
[6680-114]R=969206; MaxAge=273; Rsp=0.000143;(0.000000)(0.000000)(0.000000)(206.736287)
[6680-115]R=969210; MaxAge=243; Rsp=0.028037;(0.012845)(0.005972)(0.009096)(0.000124)
[6680-116]R=969214; MaxAge=243; Rsp=0.027232;(0.012867)(0.005066)(0.009051)(0.000248)
[6680-117]R=969218; MaxAge=269; Rsp=0.000147;(0.000000)(0.000000)(0.000000)(218.739850)
[6680-118]R=969222; MaxAge=240; Rsp=0.028109;(0.012960)(0.005856)(0.009139)(0.000154)
[6680-119]R=969226; MaxAge=240; Rsp=0.028124;(0.012836)(0.006000)(0.009051)(0.000237)
[6680-120]R=969230; MaxAge=267; Rsp=0.000137;(0.000000)(0.000000)(0.000000)(230.741403)
[6680-121]R=969234; MaxAge=239; Rsp=0.028066;(0.012936)(0.005932)(0.009086)(0.000112)
