[1-0]R=927938; MaxAge=975; Cached=0, Rsp=0.025805;(0.012239)(0.005121)(0.008186)(0.000259)
[1-0]R=927939; MaxAge=955; Cached=0, Rsp=0.025878;(0.012219)(0.005120)(0.008206)(0.000333)
[1-0]R=927940; MaxAge=935; Cached=0, Rsp=0.025854;(0.012231)(0.005126)(0.008228)(0.000269)
[1-0]R=927942; MaxAge=975; Cached=0, Rsp=0.025803;(0.012236)(0.005117)(0.008189)(0.000261)
[1-0]R=927942; MaxAge=975; Cached=1, Rsp=0.000507;(0.000000)(0.000000)(0.000000)(0.000506)
[1-0]R=927944; MaxAge=960; Cached=0, Rsp=0.026508;(0.012220)(0.005122)(0.008210)(0.000956)
[1-0]R=927945; MaxAge=939; Cached=0, Rsp=0.025987;(0.012219)(0.005126)(0.008241)(0.000401)
[1-0]R=927946; MaxAge=974; Cached=0, Rsp=0.025935;(0.012241)(0.005124)(0.008190)(0.000380)
[1-0]R=927948; MaxAge=959; Cached=0, Rsp=0.025847;(0.012240)(0.005120)(0.008207)(0.000280)
[1-0]R=927948; MaxAge=959; Cached=1, Rsp=0.000154;(0.000000)(0.000000)(0.000000)(0.000152)
[1-0]R=927948; MaxAge=959; Cached=1, Rsp=0.000911;(0.000000)(0.000000)(0.000000)(0.000909)
[1-0]R=927950; MaxAge=973; Cached=0, Rsp=0.025943;(0.012223)(0.005124)(0.008212)(0.000384)
[1-0]R=927950; MaxAge=973; Cached=1, Rsp=0.000164;(0.000000)(0.000000)(0.000000)(0.000162)
[1-0]R=927951; MaxAge=953; Cached=0, Rsp=0.025966;(0.012242)(0.005122)(0.008206)(0.000396)
[1-0]R=927952; MaxAge=933; Cached=1, Rsp=0.000163;(0.000000)(0.000000)(0.000000)(0.000161)
[1-0]R=927952; MaxAge=933; Cached=1, Rsp=0.000309;(0.000000)(0.000000)(0.000000)(0.000308)
[1-0]R=927952; MaxAge=933; Cached=0, Rsp=0.026322;(0.012236)(0.005121)(0.008191)(0.000774)
[1-0]R=927954; MaxAge=973; Cached=0, Rsp=0.025776;(0.012238)(0.005123)(0.008160)(0.000255)
[1-0]R=927954; MaxAge=973; Cached=1, Rsp=0.000160;(0.000000)(0.000000)(0.000000)(0.000158)
[1-0]R=927954; MaxAge=973; Cached=1, Rsp=0.000151;(0.000000)(0.000000)(0.000000)(0.000149)
[1-0]R=927954; MaxAge=973; Cached=1, Rsp=0.000150;(0.000000)(0.000000)(0.000000)(0.000148)
[1-0]R=927956; MaxAge=957; Cached=0, Rsp=0.025814;(0.012242)(0.005106)(0.008205)(0.000261)
[1-0]R=927956; MaxAge=957; Cached=1, Rsp=0.000310;(0.000000)(0.000000)(0.000000)(0.000308)
[1-0]R=927956; MaxAge=957; Cached=1, Rsp=0.000443;(0.000000)(0.000000)(0.000000)(0.000441)
[1-0]R=927957; MaxAge=936; Cached=0, Rsp=0.025993;(0.012242)(0.005121)(0.008238)(0.000392)
[1-0]R=927957; MaxAge=936; Cached=1, Rsp=0.000163;(0.000000)(0.000000)(0.000000)(0.000161)
[1-0]R=927958; MaxAge=971; Cached=0, Rsp=0.025935;(0.012239)(0.005118)(0.008207)(0.000371)
