[1-0]R=781; MaxAge=200; Cached=0, Rsp=0.220924;(0.012283)(0.200129)(0.008243)(0.000269)
[1-0]R=783; MaxAge=200; Cached=0, Rsp=0.221044;(0.012401)(0.200126)(0.008214)(0.000303)
[1-0]R=785; MaxAge=200; Cached=0, Rsp=0.220871;(0.012250)(0.200126)(0.008230)(0.000265)
[1-0]R=787; MaxAge=200; Cached=0, Rsp=0.220856;(0.012259)(0.200128)(0.008217)(0.000252)
[1-0]R=789; MaxAge=200; Cached=0, Rsp=0.220846;(0.012232)(0.200128)(0.008236)(0.000250)
[1-0]R=790; MaxAge=200; Cached=0, Rsp=0.220946;(0.012285)(0.200131)(0.008241)(0.000289)
[1-0]R=791; MaxAge=200; Cached=0, Rsp=0.220842;(0.012230)(0.200109)(0.008237)(0.000266)
[1-0]R=792; MaxAge=200; Cached=0, Rsp=0.220842;(0.012248)(0.200109)(0.008237)(0.000248)
[1-0]R=793; MaxAge=145; Cached=1, Rsp=0.000283;(0.000000)(0.000000)(0.000000)(0.000244)
[1-0]R=794; MaxAge=200; Cached=0, Rsp=0.220865;(0.012252)(0.200139)(0.008212)(0.000262)
[1-0]R=794; MaxAge=145; Cached=1, Rsp=0.000371;(0.000000)(0.000000)(0.000000)(0.000331)
[1-0]R=795; MaxAge=145; Cached=1, Rsp=0.000329;(0.000000)(0.000000)(0.000000)(0.000291)
[1-0]R=796; MaxAge=200; Cached=0, Rsp=0.220861;(0.012262)(0.200113)(0.008222)(0.000264)
[1-0]R=796; MaxAge=145; Cached=1, Rsp=0.000333;(0.000000)(0.000000)(0.000000)(0.000294)
[1-0]R=797; MaxAge=145; Cached=1, Rsp=0.000281;(0.000000)(0.000000)(0.000000)(0.000242)
[1-0]R=798; MaxAge=200; Cached=0, Rsp=0.220983;(0.012366)(0.200129)(0.008230)(0.000258)
[1-0]R=798; MaxAge=200; Cached=1, Rsp=0.000162;(0.000000)(0.000000)(0.000000)(0.000146)
[1-0]R=798; MaxAge=145; Cached=1, Rsp=0.000332;(0.000000)(0.000000)(0.000000)(0.000294)
[1-0]R=799; MaxAge=145; Cached=1, Rsp=0.000321;(0.000000)(0.000000)(0.000000)(0.000282)
[1-0]R=800; MaxAge=200; Cached=0, Rsp=0.220824;(0.012253)(0.200098)(0.008212)(0.000261)
[1-0]R=800; MaxAge=200; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000145)
[1-0]R=800; MaxAge=145; Cached=1, Rsp=0.000343;(0.000000)(0.000000)(0.000000)(0.000283)
[1-0]R=801; MaxAge=145; Cached=1, Rsp=0.000331;(0.000000)(0.000000)(0.000000)(0.000292)
[1-0]R=802; MaxAge=200; Cached=0, Rsp=0.220984;(0.012238)(0.200131)(0.008228)(0.000387)
[1-0]R=802; MaxAge=200; Cached=1, Rsp=0.000171;(0.000000)(0.000000)(0.000000)(0.000155)
[1-0]R=802; MaxAge=145; Cached=1, Rsp=0.000322;(0.000000)(0.000000)(0.000000)(0.000283)
[1-0]R=803; MaxAge=145; Cached=1, Rsp=0.000335;(0.000000)(0.000000)(0.000000)(0.000296)
[1-0]R=804; MaxAge=200; Cached=1, Rsp=0.000149;(0.000000)(0.000000)(0.000000)(0.000132)
[1-0]R=804; MaxAge=200; Cached=0, Rsp=0.220886;(0.012230)(0.200134)(0.008243)(0.000279)
[1-0]R=804; MaxAge=90; Cached=1, Rsp=0.000334;(0.000000)(0.000000)(0.000000)(0.000289)
[1-0]R=805; MaxAge=145; Cached=1, Rsp=0.000335;(0.000000)(0.000000)(0.000000)(0.000294)
[1-0]R=806; MaxAge=200; Cached=0, Rsp=0.220912;(0.012253)(0.200076)(0.008237)(0.000346)
[1-0]R=806; MaxAge=200; Cached=1, Rsp=0.000313;(0.000000)(0.000000)(0.000000)(0.000298)
