[1-11]R=807552; MaxAge=7; Cached=0, Rsp=0.025602;(0.012196)(0.005103)(0.008192)(0.000111)
[1-12]R=807555; MaxAge=6; Cached=0, Rsp=0.025582;(0.012196)(0.005104)(0.008176)(0.000106)
[1-13]R=807558; MaxAge=12; Cached=1, Rsp=0.000196;(0.000000)(0.000000)(0.000000)(0.000194)
[1-11]R=807558; MaxAge=12; Cached=0, Rsp=0.025613;(0.012204)(0.005111)(0.008186)(0.000112)
[1-14]R=807561; MaxAge=5; Cached=0, Rsp=0.025586;(0.012180)(0.005122)(0.008169)(0.000115)
[1-12]R=807562; MaxAge=11; Cached=0, Rsp=0.025453;(0.012103)(0.005083)(0.008190)(0.000077)
[1-15]R=807564; MaxAge=4; Cached=0, Rsp=0.025597;(0.012195)(0.005095)(0.008195)(0.000112)
[1-13]R=807566; MaxAge=11; Cached=0, Rsp=0.025610;(0.012178)(0.005119)(0.008202)(0.000111)
[1-16]R=807567; MaxAge=4; Cached=0, Rsp=0.025517;(0.012143)(0.005108)(0.008187)(0.000079)
[1-17]R=807570; MaxAge=10; Cached=1, Rsp=0.000197;(0.000000)(0.000000)(0.000000)(0.000195)
[1-14]R=807570; MaxAge=10; Cached=0, Rsp=0.025631;(0.012202)(0.005127)(0.008191)(0.000111)
[1-18]R=807573; MaxAge=3; Cached=0, Rsp=0.025580;(0.012174)(0.005124)(0.008168)(0.000114)
[1-15]R=807574; MaxAge=10; Cached=0, Rsp=0.025567;(0.012180)(0.005120)(0.008155)(0.000112)
[1-19]R=807576; MaxAge=3; Cached=0, Rsp=0.025563;(0.012173)(0.005118)(0.008161)(0.000111)
[1-16]R=807578; MaxAge=9; Cached=0, Rsp=0.025579;(0.012197)(0.005103)(0.008168)(0.000111)
[1-20]R=807579; MaxAge=2; Cached=0, Rsp=0.025606;(0.012197)(0.005105)(0.008199)(0.000105)
[1-17]R=807582; MaxAge=9; Cached=0, Rsp=0.025619;(0.012165)(0.005129)(0.008209)(0.000116)
[1-21]R=807582; MaxAge=9; Cached=1, Rsp=0.000197;(0.000000)(0.000000)(0.000000)(0.000195)
[1-22]R=807585; MaxAge=1; Cached=0, Rsp=0.025582;(0.012177)(0.005102)(0.008193)(0.000110)
[1-18]R=807586; MaxAge=9; Cached=0, Rsp=0.025574;(0.012198)(0.005116)(0.008150)(0.000110)
[1-23]R=807588; MaxAge=0; Cached=0, Rsp=0.025569;(0.012197)(0.005118)(0.008141)(0.000113)
[1-19]R=807590; MaxAge=8; Cached=0, Rsp=0.025581;(0.012181)(0.005102)(0.008186)(0.000112)
[1-24]R=807592; MaxAge=999; Cached=0, Rsp=0.026001;(0.012129)(0.005084)(0.008226)(0.000562)
[1-25]R=807594; MaxAge=8; Cached=1, Rsp=0.000215;(0.000000)(0.000000)(0.000000)(0.000213)
[1-20]R=807594; MaxAge=8; Cached=0, Rsp=0.025648;(0.012199)(0.005128)(0.008208)(0.000113)
[1-26]R=807598; MaxAge=998; Cached=0, Rsp=0.025594;(0.012201)(0.005105)(0.008175)(0.000113)
[1-21]R=807598; MaxAge=33; Cached=1, Rsp=0.000119;(0.000000)(0.000000)(0.000000)(0.000116)
[1-27]R=807601; MaxAge=997; Cached=0, Rsp=0.025600;(0.012195)(0.005099)(0.008193)(0.000113)
[1-22]R=807602; MaxAge=7; Cached=0, Rsp=0.025614;(0.012198)(0.005120)(0.008180)(0.000116)
[1-28]R=807604; MaxAge=996; Cached=0, Rsp=0.025622;(0.012178)(0.005101)(0.008229)(0.000114)
[1-29]R=807606; MaxAge=6; Cached=1, Rsp=0.000204;(0.000000)(0.000000)(0.000000)(0.000202)
[1-23]R=807606; MaxAge=6; Cached=0, Rsp=0.025649;(0.012200)(0.005127)(0.008210)(0.000112)
[1-30]R=807610; MaxAge=994; Cached=0, Rsp=0.025588;(0.012195)(0.005104)(0.008177)(0.000112)
[1-24]R=807610; MaxAge=32; Cached=1, Rsp=0.000122;(0.000000)(0.000000)(0.000000)(0.000119)
[1-31]R=807613; MaxAge=994; Cached=0, Rsp=0.025580;(0.012179)(0.005102)(0.008189)(0.000110)
[1-25]R=807614; MaxAge=5; Cached=0, Rsp=0.025583;(0.012193)(0.005108)(0.008173)(0.000109)
