[9383-11]R=730156; MaxAge=365; Cached=0, Rsp=0.025639;(0.012199)(0.005121)(0.008208)(0.000111)
[9383-12]R=730159; MaxAge=364; Cached=0, Rsp=0.025580;(0.012188)(0.005116)(0.008166)(0.000110)
[9383-13]R=730162; MaxAge=365; Cached=1, Rsp=0.000216;(0.000000)(0.000000)(0.000000)(0.000214)
[9383-14]R=730165; MaxAge=364; Cached=0, Rsp=0.025563;(0.012188)(0.005127)(0.008128)(0.000120)
[9383-11]R=730166; MaxAge=365; Cached=0, Rsp=0.025606;(0.012165)(0.005118)(0.008210)(0.000113)
[9383-15]R=730168; MaxAge=363; Cached=0, Rsp=0.025666;(0.012208)(0.005100)(0.008230)(0.000128)
[9383-12]R=730170; MaxAge=364; Cached=0, Rsp=0.025660;(0.012198)(0.005126)(0.008218)(0.000118)
[9383-16]R=730171; MaxAge=363; Cached=0, Rsp=0.025570;(0.012179)(0.005065)(0.008213)(0.000113)
[9383-13]R=730174; MaxAge=364; Cached=0, Rsp=0.025696;(0.012199)(0.005120)(0.008169)(0.000208)
[9383-17]R=730174; MaxAge=364; Cached=1, Rsp=0.000243;(0.000000)(0.000000)(0.000000)(0.000241)
[9383-18]R=730177; MaxAge=361; Cached=0, Rsp=0.025512;(0.012196)(0.005116)(0.008087)(0.000113)
[9383-14]R=730178; MaxAge=363; Cached=0, Rsp=0.025647;(0.012203)(0.005124)(0.008208)(0.000112)
[9383-11]R=730178; MaxAge=363; Cached=1, Rsp=0.000200;(0.000000)(0.000000)(0.000000)(0.000198)
[9383-19]R=730180; MaxAge=359; Cached=0, Rsp=0.025672;(0.012190)(0.005158)(0.008207)(0.000117)
[9383-15]R=730182; MaxAge=363; Cached=0, Rsp=0.025604;(0.012172)(0.005102)(0.008219)(0.000111)
[9383-12]R=730183; MaxAge=359; Cached=1, Rsp=0.000103;(0.000000)(0.000000)(0.000000)(0.000101)
[9383-20]R=730183; MaxAge=359; Cached=0, Rsp=0.025593;(0.012193)(0.005122)(0.008167)(0.000111)
[9383-21]R=730186; MaxAge=362; Cached=1, Rsp=0.000104;(0.000000)(0.000000)(0.000000)(0.000101)
[9383-16]R=730186; MaxAge=362; Cached=0, Rsp=0.025586;(0.012194)(0.005128)(0.008155)(0.000109)
[9383-13]R=730188; MaxAge=358; Cached=0, Rsp=0.025536;(0.012178)(0.005122)(0.008121)(0.000115)
[9383-22]R=730189; MaxAge=359; Cached=0, Rsp=0.025616;(0.012188)(0.005117)(0.008202)(0.000109)
[9383-17]R=730190; MaxAge=361; Cached=0, Rsp=0.025615;(0.012197)(0.005121)(0.008188)(0.000109)
[9383-23]R=730192; MaxAge=358; Cached=0, Rsp=0.025613;(0.012199)(0.005119)(0.008186)(0.000109)
[9383-14]R=730193; MaxAge=357; Cached=0, Rsp=0.025509;(0.012193)(0.005121)(0.008084)(0.000111)
[9383-18]R=730194; MaxAge=361; Cached=0, Rsp=0.025616;(0.012192)(0.005104)(0.008207)(0.000113)
[9383-24]R=730195; MaxAge=358; Cached=0, Rsp=0.025530;(0.012185)(0.005121)(0.008111)(0.000113)
[9383-19]R=730198; MaxAge=360; Cached=0, Rsp=0.025654;(0.012200)(0.005129)(0.008213)(0.000112)
[9383-15]R=730198; MaxAge=360; Cached=1, Rsp=0.000086;(0.000000)(0.000000)(0.000000)(0.000084)
[9383-20]R=730202; MaxAge=360; Cached=0, Rsp=0.025605;(0.012192)(0.005124)(0.008182)(0.000107)
