[1-1]R=0; MaxAge=500; Cached=0, Rsp=0.520924;(0.012615)(0.500121)(0.008188)
[1-2]R=1; MaxAge=500; Cached=0, Rsp=0.520533;(0.012161)(0.500113)(0.008259)
[1-1]R=1; MaxAge=17; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-3]R=2; MaxAge=500; Cached=0, Rsp=0.520487;(0.012187)(0.500112)(0.008188)
[1-2]R=2; MaxAge=500; Cached=1, Rsp=0.000001;(0.000000)(0.000000)(0.000000)
[1-1]R=2; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-3]R=3; MaxAge=500; Cached=0, Rsp=0.520508;(0.012150)(0.500118)(0.008240)
[1-4]R=3; MaxAge=24; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-2]R=4; MaxAge=500; Cached=0, Rsp=0.520437;(0.012152)(0.500111)(0.008174)
[1-4]R=4; MaxAge=25; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-5]R=5; MaxAge=500; Cached=0, Rsp=0.520565;(0.012216)(0.500120)(0.008229)
[1-1]R=5; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-5]R=5; MaxAge=18; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-1]R=5; MaxAge=6; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-3]R=6; MaxAge=500; Cached=0, Rsp=0.520527;(0.012191)(0.500119)(0.008217)
[1-2]R=6; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-6]R=7; MaxAge=500; Cached=0, Rsp=0.520527;(0.012172)(0.500120)(0.008235)
[1-6]R=7; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-3]R=7; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-4]R=8; MaxAge=500; Cached=0, Rsp=0.520539;(0.012197)(0.500107)(0.008235)
[1-7]R=8; MaxAge=28; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-4]R=8; MaxAge=25; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-2]R=8; MaxAge=17; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-7]R=9; MaxAge=500; Cached=0, Rsp=0.520540;(0.012183)(0.500124)(0.008233)
[1-5]R=9; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-8]R=10; MaxAge=500; Cached=0, Rsp=0.520567;(0.012197)(0.500125)(0.008245)
[1-6]R=10; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-8]R=11; MaxAge=500; Cached=0, Rsp=0.520491;(0.012160)(0.500122)(0.008209)
[1-5]R=11; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-7]R=11; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-9]R=11; MaxAge=17; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-3]R=11; MaxAge=5; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-8]R=12; MaxAge=500; Cached=0, Rsp=0.520438;(0.012193)(0.500090)(0.008155)
[1-9]R=13; MaxAge=500; Cached=0, Rsp=0.520408;(0.012178)(0.500089)(0.008141)
[1-10]R=13; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-9]R=13; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-6]R=13; MaxAge=14; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-10]R=14; MaxAge=500; Cached=0, Rsp=0.520527;(0.012170)(0.500124)(0.008233)
[1-11]R=14; MaxAge=29; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-4]R=14; MaxAge=19; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-10]R=15; MaxAge=500; Cached=0, Rsp=0.520547;(0.012196)(0.500108)(0.008243)
[1-11]R=15; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-12]R=16; MaxAge=500; Cached=0, Rsp=0.520489;(0.012163)(0.500085)(0.008241)
[1-7]R=16; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-12]R=16; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-11]R=17; MaxAge=500; Cached=0, Rsp=0.520559;(0.012195)(0.500126)(0.008238)
[1-13]R=17; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-13]R=17; MaxAge=17; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-5]R=17; MaxAge=7; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-14]R=18; MaxAge=500; Cached=0, Rsp=0.520462;(0.012139)(0.500123)(0.008200)
[1-8]R=18; MaxAge=28; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-12]R=19; MaxAge=500; Cached=0, Rsp=0.520533;(0.012195)(0.500122)(0.008216)
[1-14]R=19; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-15]R=19; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-16]R=20; MaxAge=500; Cached=0, Rsp=0.520496;(0.012152)(0.500125)(0.008219)
[1-15]R=20; MaxAge=32; Cached=1, Rsp=0.000003;(0.000000)(0.000000)(0.000000)
[1-6]R=20; MaxAge=22; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-13]R=21; MaxAge=500; Cached=0, Rsp=0.520510;(0.012190)(0.500104)(0.008216)
[1-9]R=21; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-17]R=21; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-16]R=22; MaxAge=500; Cached=0, Rsp=0.520496;(0.012152)(0.500103)(0.008241)
[1-18]R=22; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
[1-14]R=23; MaxAge=500; Cached=0, Rsp=0.520449;(0.012189)(0.500122)(0.008138)
[1-19]R=23; MaxAge=500; Cached=1, Rsp=0.000002;(0.000000)(0.000000)(0.000000)
