[13210-1900]R=2508; MaxAge=100; Cached=0, Rsp=0.100837, 0.000000, 421.361302
[13210-1900]R=2511; MaxAge=100; Cached=1, Rsp=0.000101, 0.000000, 423.265582
[13210-1900]R=2516; MaxAge=100; Cached=0, Rsp=0.100859, 0.000000, 425.206107
[13210-1900]R=2520; MaxAge=100; Cached=0, Rsp=0.100750, 0.000000, 427.100692
[13210-1900]R=2524; MaxAge=100; Cached=0, Rsp=0.100832, 0.000000, 428.995517
[13210-1900]R=2529; MaxAge=45; Cached=1, Rsp=0.000188, 0.000000, 430.770050
[13210-1900]R=2533; MaxAge=100; Cached=0, Rsp=0.100857, 0.000000, 432.775146
[13210-1900]R=2537; MaxAge=100; Cached=0, Rsp=0.100799, 0.000000, 434.670102
[13210-1900]R=2542; MaxAge=100; Cached=0, Rsp=0.100855, 0.000000, 436.610608
[13210-1900]R=2545; MaxAge=100; Cached=0, Rsp=0.100843, 0.000000, 438.515253
[13210-1900]R=2548; MaxAge=45; Cached=1, Rsp=0.000154, 0.000000, 440.365159
[13210-1900]R=2551; MaxAge=100; Cached=1, Rsp=0.000182, 0.000000, 442.214589
[13210-1900]R=2554; MaxAge=45; Cached=1, Rsp=0.000191, 0.000000, 444.063872
[13210-1900]R=2559; MaxAge=100; Cached=1, Rsp=0.000185, 0.000000, 446.004160
[13210-1900]R=2563; MaxAge=100; Cached=0, Rsp=0.100840, 0.000000, 448.009624
[13210-1900]R=2567; MaxAge=100; Cached=0, Rsp=0.100854, 0.000000, 449.904376
[13210-1900]R=2572; MaxAge=100; Cached=0, Rsp=0.100776, 0.000000, 451.789460
[13210-1900]R=2576; MaxAge=100; Cached=0, Rsp=0.100840, 0.000000, 453.684158
[13210-1900]R=2580; MaxAge=100; Cached=0, Rsp=0.100824, 0.000000, 455.578920
[13210-1900]R=2585; MaxAge=100; Cached=1, Rsp=0.000178, 0.000000, 457.464217
[13210-1900]R=2589; MaxAge=100; Cached=0, Rsp=0.101083, 0.000000, 459.414426
[13210-1900]R=2591; MaxAge=45; Cached=1, Rsp=0.000199, 0.000000, 461.162643
[13210-1900]R=2596; MaxAge=100; Cached=0, Rsp=0.100829, 0.000000, 463.214185
[13210-1900]R=2600; MaxAge=45; Cached=1, Rsp=0.000188, 0.000000, 465.053809
[13210-1900]R=2604; MaxAge=100; Cached=1, Rsp=0.000187, 0.000000, 467.003804
[13210-1900]R=2607; MaxAge=100; Cached=0, Rsp=0.100827, 0.000000, 468.908030
[13210-1900]R=2609; MaxAge=100; Cached=0, Rsp=0.101125, 0.000000, 470.767209
[13210-1900]R=2612; MaxAge=100; Cached=1, Rsp=0.000182, 0.000000, 472.616111
[13210-1900]R=2615; MaxAge=100; Cached=0, Rsp=0.100819, 0.000000, 474.575610
[13210-1900]R=2617; MaxAge=100; Cached=0, Rsp=0.100775, 0.000000, 476.489220
