[0-0]R=2468; MaxAge=100; Cached=0, Rsp=0.100584, 401.097541, 401.198125
[0-0]R=2469; MaxAge=100; Cached=0, Rsp=0.100607, 401.806077, 401.906684
[0-0]R=2470; MaxAge=100; Cached=0, Rsp=0.100625, 402.293509, 402.394134
[0-0]R=2471; MaxAge=100; Cached=0, Rsp=0.100634, 402.504744, 402.605378
[0-0]R=2472; MaxAge=100; Cached=0, Rsp=0.100621, 403.378913, 403.479534
[0-0]R=2473; MaxAge=100; Cached=0, Rsp=0.100630, 403.866357, 403.966987
[0-0]R=2473; MaxAge=100; Cached=1, Rsp=0.000022, 403.967181, 403.967203
[0-0]R=2474; MaxAge=100; Cached=0, Rsp=0.100638, 404.188232, 404.288870
[0-0]R=2474; MaxAge=100; Cached=1, Rsp=0.000021, 404.289031, 404.289052
[0-0]R=2474; MaxAge=45; Cached=1, Rsp=0.000041, 404.344384, 404.344425
[0-0]R=2475; MaxAge=100; Cached=0, Rsp=0.100556, 405.173200, 405.273756
[0-0]R=2475; MaxAge=100; Cached=1, Rsp=0.000010, 405.273844, 405.273854
[0-0]R=2476; MaxAge=100; Cached=0, Rsp=0.100628, 406.102353, 406.202981
[0-0]R=2476; MaxAge=100; Cached=1, Rsp=0.000019, 406.203147, 406.203166
[0-0]R=2477; MaxAge=100; Cached=0, Rsp=0.100608, 406.589905, 406.690513
[0-0]R=2477; MaxAge=45; Cached=1, Rsp=0.000040, 406.745945, 406.745985
[0-0]R=2478; MaxAge=100; Cached=0, Rsp=0.100629, 406.856631, 406.957260
[0-0]R=2478; MaxAge=45; Cached=1, Rsp=0.000043, 407.012675, 407.012718
[0-0]R=2479; MaxAge=100; Cached=0, Rsp=0.100627, 407.896691, 407.997318
[0-0]R=2479; MaxAge=100; Cached=1, Rsp=0.000022, 407.997483, 407.997505
[0-0]R=2480; MaxAge=100; Cached=0, Rsp=0.100605, 408.108082, 408.208687
[0-0]R=2481; MaxAge=100; Cached=0, Rsp=0.100611, 408.761300, 408.861911
[0-0]R=2482; MaxAge=100; Cached=0, Rsp=0.100613, 408.972561, 409.073174
[0-0]R=2483; MaxAge=100; Cached=0, Rsp=0.100506, 409.460013, 409.560519
[0-0]R=2484; MaxAge=100; Cached=0, Rsp=0.100623, 409.671122, 409.771745
[0-0]R=2484; MaxAge=100; Cached=1, Rsp=0.000019, 409.771914, 409.771933
[0-0]R=2485; MaxAge=100; Cached=0, Rsp=0.100620, 409.882536, 409.983156
[0-0]R=2486; MaxAge=100; Cached=0, Rsp=0.100531, 410.590866, 410.691397
[0-0]R=2487; MaxAge=100; Cached=0, Rsp=0.100536, 410.912407, 411.012943
[0-0]R=2488; MaxAge=100; Cached=0, Rsp=0.100625, 411.399784, 411.500409
[0-0]R=2488; MaxAge=45; Cached=1, Rsp=0.000025, 411.555810, 411.555835
[0-0]R=2489; MaxAge=100; Cached=0, Rsp=0.100603, 411.776904, 411.877507
[0-0]R=2490; MaxAge=100; Cached=0, Rsp=0.100628, 412.264308, 412.364936
[0-0]R=2490; MaxAge=45; Cached=1, Rsp=0.000042, 412.420343, 412.420385
[0-0]R=2491; MaxAge=100; Cached=0, Rsp=0.100603, 412.696767, 412.797370
[0-0]R=2492; MaxAge=100; Cached=0, Rsp=0.100630, 413.294777, 413.395407
[0-0]R=2493; MaxAge=100; Cached=0, Rsp=0.100546, 413.671804, 413.772350
[0-0]R=2493; MaxAge=100; Cached=1, Rsp=0.000011, 413.772442, 413.772453
[0-0]R=2493; MaxAge=100; Cached=1, Rsp=0.000007, 413.772506, 413.772513
[0-0]R=2494; MaxAge=100; Cached=0, Rsp=0.100517, 414.214525, 414.315042
[0-0]R=2495; MaxAge=100; Cached=0, Rsp=0.100551, 415.088517, 415.189068
[0-0]R=2495; MaxAge=100; Cached=1, Rsp=0.000010, 415.189157, 415.189167
[0-0]R=2496; MaxAge=100; Cached=0, Rsp=0.100608, 415.575870, 415.676478
[0-0]R=2496; MaxAge=100; Cached=1, Rsp=0.000021, 415.676646, 415.676667
[0-0]R=2497; MaxAge=100; Cached=0, Rsp=0.100630, 416.008212, 416.108842
[0-0]R=2497; MaxAge=45; Cached=1, Rsp=0.000042, 416.164285, 416.164327
[0-0]R=2498; MaxAge=100; Cached=0, Rsp=0.100603, 416.496029, 416.596632
[0-0]R=2499; MaxAge=100; Cached=0, Rsp=0.100581, 416.872975, 416.973556
[0-0]R=2500; MaxAge=100; Cached=0, Rsp=0.100575, 417.470910, 417.571485
[0-0]R=2501; MaxAge=100; Cached=0, Rsp=0.100629, 417.792531, 417.893160
[0-0]R=2501; MaxAge=100; Cached=1, Rsp=0.000023, 417.893326, 417.893349
[0-0]R=2502; MaxAge=100; Cached=0, Rsp=0.100607, 418.501079, 418.601686
[0-0]R=2502; MaxAge=45; Cached=1, Rsp=0.000026, 418.657093, 418.657119
[0-0]R=2503; MaxAge=100; Cached=0, Rsp=0.100626, 418.712437, 418.813063
[0-0]R=2504; MaxAge=100; Cached=0, Rsp=0.100619, 419.310392, 419.411011
[0-0]R=2504; MaxAge=100; Cached=1, Rsp=0.000020, 419.411177, 419.411197
[0-0]R=2505; MaxAge=100; Cached=0, Rsp=0.100598, 419.577034, 419.677632
[0-0]R=2506; MaxAge=100; Cached=0, Rsp=0.100618, 420.506379, 420.606997
[0-0]R=2506; MaxAge=45; Cached=1, Rsp=0.000042, 420.662409, 420.662451
[0-0]R=2507; MaxAge=100; Cached=0, Rsp=0.100536, 420.994119, 421.094655
[0-0]R=2508; MaxAge=100; Cached=0, Rsp=0.100634, 421.260465, 421.361099
[0-0]R=2508; MaxAge=100; Cached=1, Rsp=0.000020, 421.361265, 421.361285
[0-0]R=2508; MaxAge=45; Cached=1, Rsp=0.000025, 421.416588, 421.416613
[0-0]R=2509; MaxAge=100; Cached=0, Rsp=0.100627, 422.079517, 422.180144
[0-0]R=2510; MaxAge=100; Cached=0, Rsp=0.100626, 422.290771, 422.391397
[0-0]R=2511; MaxAge=100; Cached=0, Rsp=0.100544, 423.164844, 423.265388
[0-0]R=2511; MaxAge=100; Cached=1, Rsp=0.000010, 423.265481, 423.265491
[0-0]R=2512; MaxAge=100; Cached=0, Rsp=0.100596, 423.375975, 423.476571
[0-0]R=2512; MaxAge=45; Cached=1, Rsp=0.000040, 423.531986, 423.532026
[0-0]R=2513; MaxAge=100; Cached=0, Rsp=0.100626, 424.084644, 424.185270
[0-0]R=2514; MaxAge=100; Cached=0, Rsp=0.100602, 424.295925, 424.396527
[0-0]R=2515; MaxAge=100; Cached=0, Rsp=0.100539, 424.893853, 424.994392
[0-0]R=2515; MaxAge=45; Cached=1, Rsp=0.000043, 425.049746, 425.049789
[0-0]R=2516; MaxAge=100; Cached=0, Rsp=0.100643, 425.105248, 425.205891
[0-0]R=2517; MaxAge=100; Cached=0, Rsp=0.100630, 425.813652, 425.914282
[0-0]R=2517; MaxAge=45; Cached=1, Rsp=0.000025, 425.969700, 425.969725
[0-0]R=2518; MaxAge=100; Cached=0, Rsp=0.100621, 426.301263, 426.401884
[0-0]R=2519; MaxAge=100; Cached=0, Rsp=0.100639, 426.788688, 426.889327
[0-0]R=2520; MaxAge=100; Cached=0, Rsp=0.100537, 426.999942, 427.100479
[0-0]R=2520; MaxAge=45; Cached=1, Rsp=0.000040, 427.155895, 427.155935
[0-0]R=2521; MaxAge=100; Cached=0, Rsp=0.100644, 427.708470, 427.809114
[0-0]R=2521; MaxAge=100; Cached=1, Rsp=0.000022, 427.809279, 427.809301
[0-0]R=2522; MaxAge=100; Cached=0, Rsp=0.100527, 428.196109, 428.296636
[0-0]R=2523; MaxAge=100; Cached=0, Rsp=0.100594, 428.572937, 428.673531
[0-0]R=2524; MaxAge=100; Cached=0, Rsp=0.100613, 428.894685, 428.995298
[0-0]R=2525; MaxAge=100; Cached=0, Rsp=0.100618, 429.105881, 429.206499
[0-0]R=2526; MaxAge=100; Cached=0, Rsp=0.100614, 429.482795, 429.583409
[0-0]R=2527; MaxAge=100; Cached=0, Rsp=0.100617, 430.080788, 430.181405
[0-0]R=2528; MaxAge=100; Cached=0, Rsp=0.100626, 430.402468, 430.503094
[0-0]R=2528; MaxAge=100; Cached=1, Rsp=0.000019, 430.503259, 430.503278
[0-0]R=2529; MaxAge=100; Cached=0, Rsp=0.100621, 430.613845, 430.714466
[0-0]R=2529; MaxAge=45; Cached=1, Rsp=0.000026, 430.769862, 430.769888
[0-0]R=2530; MaxAge=100; Cached=0, Rsp=0.100629, 431.267302, 431.367931
[0-0]R=2531; MaxAge=100; Cached=0, Rsp=0.100619, 431.865280, 431.965899
[0-0]R=2532; MaxAge=100; Cached=0, Rsp=0.100525, 432.187051, 432.287576
[0-0]R=2533; MaxAge=100; Cached=0, Rsp=0.100645, 432.674289, 432.774934
[0-0]R=2534; MaxAge=100; Cached=0, Rsp=0.100584, 432.995954, 433.096538
[0-0]R=2534; MaxAge=100; Cached=1, Rsp=0.000022, 433.096703, 433.096725
[0-0]R=2534; MaxAge=45; Cached=1, Rsp=0.000044, 433.152087, 433.152131
[0-0]R=2535; MaxAge=100; Cached=0, Rsp=0.100601, 433.262832, 433.363433
[0-0]R=2536; MaxAge=100; Cached=0, Rsp=0.100618, 433.971312, 434.071930
[0-0]R=2537; MaxAge=100; Cached=0, Rsp=0.100583, 434.569303, 434.669886
[0-0]R=2537; MaxAge=45; Cached=1, Rsp=0.000040, 434.725316, 434.725356
[0-0]R=2538; MaxAge=100; Cached=0, Rsp=0.100622, 434.891246, 434.991868
[0-0]R=2539; MaxAge=100; Cached=0, Rsp=0.100620, 435.378711, 435.479331
[0-0]R=2540; MaxAge=100; Cached=0, Rsp=0.100579, 435.811007, 435.911586
[0-0]R=2540; MaxAge=100; Cached=1, Rsp=0.000022, 435.911755, 435.911777
[0-0]R=2541; MaxAge=100; Cached=0, Rsp=0.100591, 436.077560, 436.178151
[0-0]R=2542; MaxAge=100; Cached=0, Rsp=0.100629, 436.509753, 436.610382
[0-0]R=2542; MaxAge=45; Cached=1, Rsp=0.000041, 436.665804, 436.665845
[0-0]R=2543; MaxAge=100; Cached=0, Rsp=0.100633, 437.494699, 437.595332
[0-0]R=2543; MaxAge=45; Cached=1, Rsp=0.000025, 437.650732, 437.650757
[0-0]R=2544; MaxAge=100; Cached=0, Rsp=0.100633, 437.761311, 437.861944
