[0-0]R=5346; MaxAge=100; Cached=0, Rsp=0.100121, 769.010954, 769.111075
[0-100000]R=5347; MaxAge=100; Cached=0, Rsp=0.100090, 771.928722, 772.028812
[0-100000]R=5348; MaxAge=100; Cached=0, Rsp=0.100130, 773.355342, 773.455472
[0-100000]R=5349; MaxAge=100; Cached=0, Rsp=0.100131, 773.843103, 773.943234
[0-100000]R=5350; MaxAge=100; Cached=0, Rsp=0.100105, 774.220305, 774.320410
[0-100000]R=5351; MaxAge=100; Cached=0, Rsp=0.100111, 774.653096, 774.753207
[0-100000]R=5352; MaxAge=100; Cached=0, Rsp=0.100112, 775.030015, 775.130127
[0-100000]R=5353; MaxAge=100; Cached=0, Rsp=0.100131, 775.738520, 775.838651
[0-100000]R=5354; MaxAge=100; Cached=0, Rsp=0.100128, 776.502805, 776.602933
[0-100000]R=5355; MaxAge=100; Cached=0, Rsp=0.100127, 777.045972, 777.146099
[0-100000]R=5356; MaxAge=100; Cached=0, Rsp=0.100112, 777.312716, 777.412828
[0-100000]R=5357; MaxAge=100; Cached=0, Rsp=0.100133, 778.021321, 778.121454
[0-100000]R=5358; MaxAge=100; Cached=0, Rsp=0.100149, 778.454204, 778.554353
[0-100000]R=5359; MaxAge=100; Cached=0, Rsp=0.100131, 778.831135, 778.931266
[0-100000]R=5360; MaxAge=100; Cached=0, Rsp=0.100132, 779.318976, 779.419108
[0-100000]R=5361; MaxAge=100; Cached=0, Rsp=0.100111, 779.640671, 779.740782
[0-100000]R=5362; MaxAge=100; Cached=0, Rsp=0.100132, 780.349447, 780.449579
[0-100000]R=5363; MaxAge=100; Cached=0, Rsp=0.100133, 781.003197, 781.103330
[0-100000]R=5364; MaxAge=100; Cached=0, Rsp=0.100125, 781.601599, 781.701724
[0-100000]R=5365; MaxAge=100; Cached=0, Rsp=0.100138, 781.923553, 782.023691
[0-100000]R=5366; MaxAge=100; Cached=0, Rsp=0.100111, 782.411120, 782.511231
[0-100000]R=5367; MaxAge=100; Cached=0, Rsp=0.100130, 782.843210, 782.943340
[0-100000]R=5368; MaxAge=100; Cached=0, Rsp=0.100130, 783.220349, 783.320479
[0-100000]R=5369; MaxAge=100; Cached=0, Rsp=0.100109, 783.707991, 783.808100
[0-100000]R=5370; MaxAge=100; Cached=0, Rsp=0.100107, 784.029654, 784.129761
[0-100000]R=5371; MaxAge=100; Cached=0, Rsp=0.100128, 784.627946, 784.728074
[0-100000]R=5372; MaxAge=100; Cached=0, Rsp=0.100113, 785.115829, 785.215942
[0-100000]R=5373; MaxAge=100; Cached=0, Rsp=0.100130, 785.437480, 785.537610
[0-100000]R=5374; MaxAge=100; Cached=0, Rsp=0.100119, 786.201607, 786.301726
[0-100000]R=5375; MaxAge=100; Cached=0, Rsp=0.100132, 786.910353, 787.010485
[0-100000]R=5376; MaxAge=100; Cached=0, Rsp=0.100132, 787.508796, 787.608928
[0-100000]R=5377; MaxAge=100; Cached=0, Rsp=0.100132, 787.831114, 787.931246
[0-100000]R=5378; MaxAge=100; Cached=0, Rsp=0.100107, 788.318506, 788.418613
[0-100000]R=5379; MaxAge=100; Cached=0, Rsp=0.100121, 788.750609, 788.850730
[0-100000]R=5380; MaxAge=100; Cached=0, Rsp=0.100108, 789.128012, 789.228120
[0-100000]R=5381; MaxAge=100; Cached=0, Rsp=0.100127, 789.615361, 789.715488
[0-100000]R=5382; MaxAge=100; Cached=0, Rsp=0.100113, 789.937239, 790.037352
[0-100000]R=5383; MaxAge=100; Cached=0, Rsp=0.100126, 790.535096, 790.635222
[0-100000]R=5384; MaxAge=100; Cached=0, Rsp=0.100132, 791.243955, 791.344087
[0-100000]R=5385; MaxAge=100; Cached=0, Rsp=0.100128, 791.731930, 791.832058
[0-100000]R=5386; MaxAge=100; Cached=0, Rsp=0.100108, 792.053739, 792.153847
[0-100000]R=5387; MaxAge=100; Cached=0, Rsp=0.100130, 792.541565, 792.641695
[0-100000]R=5388; MaxAge=100; Cached=0, Rsp=0.100129, 792.808600, 792.908729
